datetime,hvac,air_temp,relative_humidity_set_1,solar_radiation_set_1,dew_point_temperature_set_1d,dayofweek,hourofday,kernel_0,kernel_1,kernel_2,kernel_3,kernel_4,kernel_5
2018-10-17 03:00:00,52.63312261125,25.11,88.75,0.0025,10.6825,2,3,2.305497891011217e-14,1.8816491280547037e-23,0.9999721039568078,2.164586910695504e-06,3.607604171591022e-15,2.5731455968319266e-05
2018-10-17 04:00:00,54.595396824999995,24.575,91.075,0.1875,10.82,2,4,1.1089379409298751e-13,3.2113921709505925e-21,0.9999751669551913,1.1221781184486129e-06,3.495637575753008e-14,2.3710866214171275e-05
2018-10-17 05:00:00,56.68772767875,24.04,90.19999999999999,0.2,10.365,2,5,1.0784056706212967e-13,8.878357873734039e-21,0.9999872037866858,3.924225162681595e-07,3.5024951109778474e-14,1.2403790464207747e-05
2018-10-17 06:00:00,56.60024810624999,26.9825,69.36000000000001,0.2025,7.5825000000000005,2,6,3.186244601928433e-17,6.389998594070974e-26,0.9999679540322501,2.3241785317329324e-06,1.535315072521462e-17,2.9721789158387687e-05
2018-10-17 07:00:00,60.416250000000005,25.802500000000002,72.66499999999999,0.0775,7.85,2,7,7.995530090524273e-16,1.7124880481665288e-23,0.9999883364385991,9.62355491723603e-07,7.217850853967841e-17,1.0701205857084405e-05
2018-10-17 08:00:00,58.3088095225,23.1075,91.94999999999999,0.2,10.2525,2,8,9.766888039326257e-13,5.84305513797051e-18,0.9999983287286351,8.317992467640987e-09,2.560624608407939e-13,1.6629520159289231e-06
2018-10-17 09:00:00,58.227760415,22.04,92.625,0.2,9.81,2,9,1.15278444916992e-12,2.906179543995195e-17,0.9999991434854164,3.299079208910699e-09,9.354747398372535e-13,8.532132718631678e-07
2018-10-17 10:00:00,58.271333330000004,21.5225,92.475,0.2,9.485,2,10,8.433520113926511e-13,4.8270887668248414e-17,0.9999996548591432,1.7231543062950923e-09,1.6281243819962955e-12,3.4341509786564193e-07
2018-10-17 11:00:00,62.12630952250001,21.259999999999998,93.9,0.2,9.6425,2,11,1.3534944901833265e-12,6.936145009477061e-17,0.9999996795160232,1.3533095161142807e-10,3.686251105582656e-12,3.2034331539493036e-07
2018-10-17 12:00:00,63.594770832500004,20.302500000000002,94.97500000000001,0.2,9.3825,2,12,8.908515490272553e-13,6.894605844539371e-17,0.9999997797004593,1.2632721937709462e-11,9.53332073855215e-12,2.2027580678080028e-07
2018-10-17 13:00:00,65.783,20.31,95.275,0.3025,9.425,2,13,5.226970819658446e-13,7.081602723276952e-17,0.9999998315654062,1.8846255196876163e-12,1.5350660913489407e-11,1.6841527296750107e-07
2018-10-17 14:00:00,60.65148809749999,20.48,95.4,4.605,9.54,2,14,1.5917294890682095e-13,1.1503292581515205e-17,0.9999999324771842,1.0719228436700536e-12,7.398090477935802e-11,6.744552374249832e-08
2018-10-17 15:00:00,62.998510415,20.769999999999996,95.4,104.5425,9.68,2,15,1.666196773334484e-14,6.820930762798868e-18,0.9999999666242808,2.6004631881098974e-14,6.971668425033912e-11,3.3303463424338105e-08
2018-10-17 16:00:00,62.367910715,22.377499999999998,95.325,296.075,10.27,2,16,5.475960140025428e-20,1.386884641345204e-17,0.9999999853992918,1.708999219334644e-17,3.476456648829707e-11,1.4562137033413672e-08
2018-10-17 17:00:00,59.646833335,25.877499999999998,94.7,444.9,11.969999999999999,2,17,1.7436566369275236e-28,4.986972817842541e-18,0.9999999914122788,8.627226784558806e-21,4.1729119419039846e-11,8.538955377269327e-09
2018-10-17 18:00:00,55.7962747225,30.699999999999996,80.1425,562.05,11.935,2,18,8.268714139260683e-38,3.488657195241645e-17,0.999999999400581,2.711665390001014e-22,2.8116650028131567e-12,5.962105192132291e-10
2018-10-17 19:00:00,67.95598809500001,34.572500000000005,64.9575,633.45,10.787500000000001,2,19,1.3231408987910907e-42,5.866650222969294e-16,0.9999999996836265,1.3028211991801632e-23,3.3794642404263055e-15,3.161151189062444e-10
